full_date,date_key,year,quarter,quarter_name,month,month_name,month_short,year_month,day_of_month,day_of_week,day_name,day_short,week_of_year,is_weekend,season,holiday_name,is_holiday,is_trading_day
2015-02-15,20150215,2015,1,Q1,2,February,Feb,2015-02,15,7,Sunday,Sun,7,True,Winter,,False,True
2015-02-16,20150216,2015,1,Q1,2,February,Feb,2015-02,16,1,Monday,Mon,8,False,Winter,Washington's Birthday,True,True
2015-02-17,20150217,2015,1,Q1,2,February,Feb,2015-02,17,2,Tuesday,Tue,8,False,Winter,,False,True
2015-02-18,20150218,2015,1,Q1,2,February,Feb,2015-02,18,3,Wednesday,Wed,8,False,Winter,,False,True
2015-02-19,20150219,2015,1,Q1,2,February,Feb,2015-02,19,4,Thursday,Thu,8,False,Winter,,False,True
2015-02-20,20150220,2015,1,Q1,2,February,Feb,2015-02,20,5,Friday,Fri,8,False,Winter,,False,True
2015-02-21,20150221,2015,1,Q1,2,February,Feb,2015-02,21,6,Saturday,Sat,8,True,Winter,,False,True
2015-02-22,20150222,2015,1,Q1,2,February,Feb,2015-02,22,7,Sunday,Sun,8,True,Winter,,False,True
2015-02-23,20150223,2015,1,Q1,2,February,Feb,2015-02,23,1,Monday,Mon,9,False,Winter,,False,True
2015-02-24,20150224,2015,1,Q1,2,February,Feb,2015-02,24,2,Tuesday,Tue,9,False,Winter,,False,True
2015-02-25,20150225,2015,1,Q1,2,February,Feb,2015-02,25,3,Wednesday,Wed,9,False,Winter,,False,True
2015-02-26,20150226,2015,1,Q1,2,February,Feb,2015-02,26,4,Thursday,Thu,9,False,Winter,,False,True
2015-02-27,20150227,2015,1,Q1,2,February,Feb,2015-02,27,5,Friday,Fri,9,False,Winter,,False,True
2015-02-28,20150228,2015,1,Q1,2,February,Feb,2015-02,28,6,Saturday,Sat,9,True,Winter,,False,True
2015-03-01,20150301,2015,1,Q1,3,March,Mar,2015-03,1,7,Sunday,Sun,9,True,Spring,,False,True
2015-03-02,20150302,2015,1,Q1,3,March,Mar,2015-03,2,1,Monday,Mon,10,False,Spring,,False,True
2015-03-03,20150303,2015,1,Q1,3,March,Mar,2015-03,3,2,Tuesday,Tue,10,False,Spring,,False,True
2015-03-04,20150304,2015,1,Q1,3,March,Mar,2015-03,4,3,Wednesday,Wed,10,False,Spring,,False,True
2015-03-05,20150305,2015,1,Q1,3,March,Mar,2015-03,5,4,Thursday,Thu,10,False,Spring,,False,True
2015-03-06,20150306,2015,1,Q1,3,March,Mar,2015-03,6,5,Friday,Fri,10,False,Spring,,False,True
2015-03-07,20150307,2015,1,Q1,3,March,Mar,2015-03,7,6,Saturday,Sat,10,True,Spring,,False,True
2015-03-08,20150308,2015,1,Q1,3,March,Mar,2015-03,8,7,Sunday,Sun,10,True,Spring,,False,True
2015-03-09,20150309,2015,1,Q1,3,March,Mar,2015-03,9,1,Monday,Mon,11,False,Spring,,False,True
2015-03-10,20150310,2015,1,Q1,3,March,Mar,2015-03,10,2,Tuesday,Tue,11,False,Spring,,False,True
2015-03-11,20150311,2015,1,Q1,3,March,Mar,2015-03,11,3,Wednesday,Wed,11,False,Spring,,False,True
2015-03-12,20150312,2015,1,Q1,3,March,Mar,2015-03,12,4,Thursday,Thu,11,False,Spring,,False,True
2015-03-13,20150313,2015,1,Q1,3,March,Mar,2015-03,13,5,Friday,Fri,11,False,Spring,,False,True
2015-03-14,20150314,2015,1,Q1,3,March,Mar,2015-03,14,6,Saturday,Sat,11,True,Spring,,False,True
2015-03-15,20150315,2015,1,Q1,3,March,Mar,2015-03,15,7,Sunday,Sun,11,True,Spring,,False,True
2015-03-16,20150316,2015,1,Q1,3,March,Mar,2015-03,16,1,Monday,Mon,12,False,Spring,,False,True
2015-03-17,20150317,2015,1,Q1,3,March,Mar,2015-03,17,2,Tuesday,Tue,12,False,Spring,,False,True
2015-03-18,20150318,2015,1,Q1,3,March,Mar,2015-03,18,3,Wednesday,Wed,12,False,Spring,,False,True
2015-03-19,20150319,2015,1,Q1,3,March,Mar,2015-03,19,4,Thursday,Thu,12,False,Spring,,False,True
2015-03-20,20150320,2015,1,Q1,3,March,Mar,2015-03,20,5,Friday,Fri,12,False,Spring,,False,True
2015-03-21,20150321,2015,1,Q1,3,March,Mar,2015-03,21,6,Saturday,Sat,12,True,Spring,,False,True
2015-03-22,20150322,2015,1,Q1,3,March,Mar,2015-03,22,7,Sunday,Sun,12,True,Spring,,False,True
2015-03-23,20150323,2015,1,Q1,3,March,Mar,2015-03,23,1,Monday,Mon,13,False,Spring,,False,True
2015-03-24,20150324,2015,1,Q1,3,March,Mar,2015-03,24,2,Tuesday,Tue,13,False,Spring,,False,True
2015-03-25,20150325,2015,1,Q1,3,March,Mar,2015-03,25,3,Wednesday,Wed,13,False,Spring,,False,True
2015-03-26,20150326,2015,1,Q1,3,March,Mar,2015-03,26,4,Thursday,Thu,13,False,Spring,,False,True
